"","names","contbr_city","contbr_st","n","location","lat","lon"
"81","Webb","CONCORD","MA",1," CONCORD",37.97798,-122.03107
"82","Webb","COOKEVILLE","TN",2," COOKEVILLE",36.16284,-85.50164
"83","Webb","CORAM","NY",1," CORAM",40.86871,-73.00149
"84","Webb","CORTLAND","NY",1," CORTLAND",42.60118,-76.18048
"85","Webb","CROTON ON HUDSON","NY",1," CROTON ON HUDSON",41.20843,-73.89125
"86","Webb","DALLAS","TX",3," DALLAS",32.78306,-96.80667
"87","Webb","DANVILLE","CA",1," DANVILLE",36.58597,-79.39502
"88","Webb","DAYTON","NV",1," DAYTON",39.75895,-84.19161
"89","Webb","DAYTON","OH",1," DAYTON",39.75895,-84.19161
"90","Webb","DAYTONA BEACH","FL",2," DAYTONA BEACH",29.21081,-81.02283
"91","Webb","DEL RIO","TX",2," DEL RIO",29.36273,-100.89676
"92","Webb","DENVER","CO",1," DENVER",39.73915,-104.9847
"93","Webb","DPO","AP",1," DPO",-41.17695,146.35152
"94","Webb","DULLES","VA",1," DULLES",39.03761,-77.41582
"95","Webb","DULUTH","GA",1," DULUTH",46.78327,-92.10658
"96","Webb","EAST WALPOLE","MA",1," EAST WALPOLE",42.16204,-71.21061
"97","Webb","ENGLEWOOD","CO",1," ENGLEWOOD",39.64777,-104.98776
"98","Webb","ESPANOLA","NM",1," ESPANOLA",35.99113,-106.08058
"99","Webb","ESSEX","CT",2," ESSEX",51.7816441,0.3665169
"100","Webb","EUGENE","OR",8," EUGENE",44.05207,-123.08675
"101","Webb","EVERGREEN","CO",1," EVERGREEN",39.63332,-105.31721
"102","Webb","FAIRFAX","VA",6," FAIRFAX",38.83469,-77.27622
"103","Webb","FAIRLAWN","VA",1," FAIRLAWN",41.12783,-81.60984
"104","Webb","FALLS CHURCH","VA",5," FALLS CHURCH",38.88233,-77.17109
"105","Webb","FALMOUTH","ME",1," FALMOUTH",50.15441,-5.07113
"106","Webb","FAYETTEVILLE","NC",1," FAYETTEVILLE",35.05266,-78.87836
"107","Webb","FERNANDINA BEACH","FL",1," FERNANDINA BEACH",30.66968,-81.46259
"108","Webb","FOREST GROVE","OR",1," FOREST GROVE",45.51984,-123.11066
